"priority","document","id","grade","page","categories","warnings","source_pdf","text"
"focused-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.42","A","19","Acute emergency risk","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Advise people with type 1 diabetes C and those with other forms of diabetes at risk for diabetic ketoacidosis E not to use recreational cannabis in any form."
"focused-review","5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025","5.43","A","20","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/5. Facilitating Positive Health Behaviors and Well-being to Improve Health Outcomes Standards of Care in Diabetes2025.pdf","Behavioral strategies should be used to support diabetes self-management and engagement in health behaviors (e.g., taking medications, using diabetes technologies, and engaging in physical activity and healthy eating) to promote optimal health-related quality of life and health outcomes."
"focused-review","6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025","6.10","C","8","Acute emergency risk","","guidelines-sources/ADA/2025/6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025.pdf","Review history of hypoglycemia at every clinical encounter for all individuals at risk for hypoglycemia, and evaluate hypoglycemic events as indicated."
"focused-review","6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025","6.13","E","8","Acute emergency risk","","guidelines-sources/ADA/2025/6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025.pdf","Clinicians should consider an individual’s risk for hypoglycemia (see Table 6.5) when selecting diabetes medications and glycemic goals."
"focused-review","6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025","6.18","E","8","Acute emergency risk","","guidelines-sources/ADA/2025/6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025.pdf","One or more episodes of level 2 or 3 hypoglycemia should prompt reevaluation of the treatment plan, including deintensifying or switching diabetes medications if appropriate."
"focused-review","6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025","6.20","C","12","Acute emergency risk","","guidelines-sources/ADA/2025/6. Glycemic Goals and Hypoglycemia Standards of Care in Diabetes 2025.pdf","Review history of hyperglycemic crises (i.e., diabetic ketoacidosis and hyperglycemic hyperosmolar state) at every clinical encounter for all individuals with diabetes at risk for these events."
"focused-review","7. Diabetes Technology Standards of Care in Diabetes 2025","7.24","B","8","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/7. Diabetes Technology Standards of Care in Diabetes 2025.pdf","Offer connected insulin pens for people with diabetes taking multiple daily insulin injections."
"focused-review","8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes","8.5","B","2","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes.pdf","Provide weight management treatment, aiming for any magnitude of weight loss. Weight loss of 3–7% of baseline weight improves glycemia and other intermediate cardiovascular risk factors. A Sustained loss of >10% of body weight usually confers greater benefits, including disease-modifying effects and possible remission of type 2 diabetes, and may improve long-term cardiovascular outcomes and mortality."
"focused-review","8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes","8.13","A","3","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes.pdf","Nutritional supplements have not been shown to be effective for weight loss and are not recommended."
"focused-review","8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes Standards of Care in Diabetes 2025","8.5","B","2","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes  Standards of Care in Diabetes 2025.pdf","Provide weight management treatment, aiming for any magnitude of weight loss. Weight loss of 3–7% of baseline weight improves glycemia and other intermediate cardiovascular risk factors. A Sustained loss of >10% of body weight usually confers greater benefits, including disease-modifying effects and possible remission of type 2 diabetes, and may improve long-term cardiovascular outcomes and mortality."
"focused-review","8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes Standards of Care in Diabetes 2025","8.13","A","3","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/8. Obesity and Weight Management for the Prevention and Treatment of Type 2 Diabetes  Standards of Care in Diabetes 2025.pdf","Nutritional supplements have not been shown to be effective for weight loss and are not recommended."
"focused-review","9. Pharmacologic Approaches to Glycemic Treatment","9.1","A","1","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","Treat most adults with type 1 diabetes with continuous subcutaneous insulin infusion or multiple daily doses of prandial (injected or inhaled) and basal insulin."
"focused-review","9. Pharmacologic Approaches to Glycemic Treatment","9.6","E","1","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","Insulin treatment plan and insulin-taking behavior should be reevaluated at regular intervals (e.g., every 3–6 months) and adjusted to incorporate specific factors that impact choice of treatment and ensure achievement of individualized glycemic goals."
"focused-review","9. Pharmacologic Approaches to Glycemic Treatment","9.15","B","7","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","In adults with type 2 diabetes, metabolic dysfunction–associated steatotic liver disease (MASLD), and overweight or obesity, consider using a GLP-1 RA or a dual glucose-dependent insulinotropic polypeptide (GIP) and GLP-1 RA with potential benefits in metabolic dysfunction–associated steatohepatitis (MASH) for glycemic management and as an adjunctive to healthy interventions for weight loss."
"focused-review","9. Pharmacologic Approaches to Glycemic Treatment","9.16a","B","7","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","In adults with type 2 diabetes and biopsy-proven MASH or those at high risk for liver fibrosis (based on noninvasive tests), pioglitazone, a GLP-1 RA, or a dual GIP and GLP-1 RA is preferred for glycemic management due to potential beneficial effects on MASH."
"focused-review","9. Pharmacologic Approaches to Glycemic Treatment","9.16b","B","8","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","Combination therapy with pioglitazone plus a GLP-1 RA can be considered for the treatment of hyperglycemia in adults with type 2 diabetes with biopsy-proven MASH or those at high risk of liver fibrosis (identified with noninvasive tests) due to potential beneficial effects on MASH."
"focused-review","9. Pharmacologic Approaches to Glycemic Treatment","9.24","A","8","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","In adults with type 2 diabetes and no evidence of insulin deficiency, a GLP-1 RA, including a dual GIP and GLP-1 RA, is preferred to insulin (Fig. 9.4)."
"focused-review","9. Pharmacologic Approaches to Glycemic Treatment","9.31a","E","17","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","Use of compounded products that are not approved by the FDA is not recommended due to uncertainty about their content and resulting concerns about safety, quality, and effectiveness."
"focused-review","9. Pharmacologic Approaches to Glycemic Treatment","9.32a","C","17","Pregnancy and childbearing","","guidelines-sources/ADA/2025/9. Pharmacologic Approaches to Glycemic Treatment.pdf","Individuals with diabetes of childbearing potential should be counseled on contraception options A and the impact of some glucose-lowering medications on contraception efficacy."
"focused-review","10. Cardiovascular Disease and Risk Management","10.9","A","6","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Treatment for hypertension should include drug classes demonstrated to reduce cardiovascular events in people with diabetes. A ACE inhibitors or angiotensin receptor blockers (ARBs) are recommended first-line therapy for hypertension in people with diabetes and coronary artery disease."
"focused-review","10. Cardiovascular Disease and Risk Management","10.11","B","6","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","An ACE inhibitor or ARB, at the maximum tolerated dose indicated for blood pressure treatment, is the recommended first-line treatment for hypertension in people with diabetes and urinary albumin-to-creatinine ratio ≥300 mg/g creatinine A or 30–299 mg/g creatinine. B If one class is not tolerated, the other should be substituted."
"focused-review","10. Cardiovascular Disease and Risk Management","10.14","A","8","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Individuals with hypertension who are not meeting blood pressure goals on three classes of antihypertensive medications (including a diuretic) should be considered for MRA therapy."
"focused-review","10. Cardiovascular Disease and Risk Management","10.15","A","8","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Lifestyle modification focusing on weight loss (if indicated); application of a Mediterranean or DASH eating pattern; reduction of saturated fat and trans fat; increase of dietary n-3 fatty acids, viscous fiber, and plant stanol and sterol intake; and increased physical activity should be recommended to improve the lipid profile and reduce the risk of developing atherosclerotic cardiovascular disease (ASCVD) in people with diabetes."
"focused-review","10. Cardiovascular Disease and Risk Management","10.17","E","8","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In adults with prediabetes or diabetes not taking statins or other lipid-lowering therapy, it is reasonable to obtain a lipid profile at the time of diagnosis, at an initial medical evaluation, annually thereafter, or more frequently if indicated."
"focused-review","10. Cardiovascular Disease and Risk Management","10.18","A","8","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Obtain a lipid profile at initiation of statins or other lipid-lowering therapy, 4–12 weeks after initiation or a change in dose, and annually thereafter, as it facilitates monitoring the response to therapy and informs medication-taking behavior."
"focused-review","10. Cardiovascular Disease and Risk Management","10.19","A","9","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","For people with diabetes aged 40–75 years without ASCVD, use moderate-intensity statin therapy in addition to lifestyle therapy."
"focused-review","10. Cardiovascular Disease and Risk Management","10.20","C","9","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","For people with diabetes aged 20–39 years with additional ASCVD risk factors, it may be reasonable to initiate statin therapy in addition to lifestyle therapy."
"focused-review","10. Cardiovascular Disease and Risk Management","10.23","B","9","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In adults with diabetes aged >75 years already on statin therapy, it is reasonable to continue statin treatment."
"focused-review","10. Cardiovascular Disease and Risk Management","10.24","C","9","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In adults with diabetes aged >75 years, it may be reasonable to initiate moderate-intensity statin therapy after discussion of potential benefits and risks."
"focused-review","10. Cardiovascular Disease and Risk Management","10.25","A","9","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In people with diabetes intolerant to statin therapy, treatment with bempedoic acid is recommended to reduce cardiovascular event rates as an alternative cholesterol-lowering plan."
"focused-review","10. Cardiovascular Disease and Risk Management","10.27","A","9","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","For people of all ages with diabetes and ASCVD, high-intensity statin therapy should be added to lifestyle therapy."
"focused-review","10. Cardiovascular Disease and Risk Management","10.29b","E","9","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","For people with diabetes and ASCVD intolerant to statin therapy, PCSK9 inhibitor therapy with monoclonal antibody treatment,Abempedoic acid therapy,Aor PCSK9 inhibitor therapy with inclisiran siRNA"
"focused-review","10. Cardiovascular Disease and Risk Management","10.35","A","14","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Use aspirin therapy (75–162 mg/day) as a secondary prevention strategy in those with diabetes and a history of ASCVD."
"focused-review","10. Cardiovascular Disease and Risk Management","10.36a","B","14","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","For individuals with ASCVD and documented aspirin allergy, clopidogrel (75 mg/day) should be used."
"focused-review","10. Cardiovascular Disease and Risk Management","10.38","A","14","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Aspirin therapy (75–162 mg/day) may be considered as a primary prevention strategy in those with diabetes who are at increased cardiovascular risk after a comprehensive discussion with the individual on the benefits versus the comparable increased risk of bleeding."
"focused-review","10. Cardiovascular Disease and Risk Management","10.39b","E","16","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","Consider investigations for coronary artery disease in the presence of any of the following: signs or symptoms of cardiac or associated vascular disease, including carotid bruits, transient ischemic attack, stroke, claudication, or PAD; or electrocardiogram abnormalities (e.g., Q waves)."
"focused-review","10. Cardiovascular Disease and Risk Management","10.40b","A","16","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In asymptomatic individuals with diabetes and abnormal natriuretic peptide levels, echocardiography is recommended to identify stage B heart failure."
"focused-review","10. Cardiovascular Disease and Risk Management","10.41","E","16","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In asymptomatic individuals with diabetes and age ≥65 years, microvascular disease in any location, or foot complications or any end-organ damage from diabetes, screening for PAD with ankle-brachial index testing is recommended if a PAD diagnosis would change management. B In individuals with diabetes duration ≥10 years and high cardiovascular risk, screening for PAD should be considered."
"focused-review","10. Cardiovascular Disease and Risk Management","10.45","A","17","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In individuals with diabetes with established ASCVD or aged ≥55 years with additional cardiovascular risk factors, ACE inhibitor or ARB therapy is recommended to reduce the risk of cardiovascular events and mortality."
"focused-review","10. Cardiovascular Disease and Risk Management","10.46a","A","17","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In individuals with diabetes and asymptomatic stage B heart failure, an interprofessional approach to optimize guideline-directed medical therapy, which should include a cardiovascular disease specialist, is recommended to reduce the risk for progression to symptomatic (stage C) heart failure."
"focused-review","10. Cardiovascular Disease and Risk Management","10.46b","A","17","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/10. Cardiovascular Disease and Risk Management.pdf","In individuals with diabetes and asymptomatic stage B heart failure, ACE inhibitors or ARBs and b-blockers are recommended to reduce the risk for progression to symptomatic (stage C) heart failure."
"focused-review","11. Chronic Kidney Disease and Risk Management","11.1a","B","1","CKD and renal dosing","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","Assess kidney function (i.e., spot urine albumin-to-creatinine ratio [UACR]) and estimated glomerular filtration rate [eGFR] in people with type 1 diabetes with duration of ≥5 years and in all people with type 2 diabetes regardless of treatment."
"focused-review","11. Chronic Kidney Disease and Risk Management","11.1b","B","1","CKD and renal dosing","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","In people with established chronic kidney disease (CKD), monitor urinary albumin (e.g., spot UACR) and eGFR 1–4 times per year depending on the stage of the kidney disease (Fig. 11.1)."
"focused-review","11. Chronic Kidney Disease and Risk Management","11.2","A","1","CKD and renal dosing","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","Optimize glucose management to reduce the risk or slow the progression of CKD (Fig. 9.3)."
"focused-review","11. Chronic Kidney Disease and Risk Management","11.6","B","2","Pregnancy and childbearing","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","Potentially harmful antihypertensive medications in pregnancy should be avoided in sexually active individuals of childbearing potential who are not using reliable contraception and, if used, should be switched prior to conception to antihypertensive medications considered safer during pregnancy."
"focused-review","11. Chronic Kidney Disease and Risk Management","11.8","B","2","CKD and renal dosing","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","For people with non–dialysisdependent stage G3 or higher CKD, protein intake should be 0.8 g/kg body weight per day, as for the general population. A For individuals on dialysis, protein intake of 1.0–1.2 g/kg/day should be considered since protein energy wasting is a major problem for some individuals on dialysis."
"focused-review","11. Chronic Kidney Disease and Risk Management","11.9","A","2","CKD and renal dosing","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","Individuals should be referred for evaluation by a nephrologist if they have continuously increasing urinary albumin levels and/or continuously decreasing eGFR and/or if the eGFR is <30 mL/min/1.73 m2 ."
"focused-review","11. Chronic Kidney Disease and Risk Management","11.10","B","3","CKD and renal dosing","","guidelines-sources/ADA/2025/11. Chronic Kidney Disease and Risk Management.pdf","Refer to a nephrologist for uncertainty about the etiology of kidney disease, difficult management issues, and rapidly progressing kidney disease."
"focused-review","12. Retinopathy, Neuropathy, and Foot Care","12.1","A","1","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","Implement strategies to help people with diabetes reach glycemic goals to reduce the risk or slow the progression of diabetic retinopathy."
"focused-review","12. Retinopathy, Neuropathy, and Foot Care","12.9","A","3","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","Promptly refer individuals with any level of diabetic macular edema, moderate or worse nonproliferative diabetic retinopathy (a precursor of proliferative diabetic retinopathy [PDR]), or any PDR to an ophthalmologist who is knowledgeable and experienced in the management of diabetic retinopathy."
"focused-review","12. Retinopathy, Neuropathy, and Foot Care","12.10","A","3","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","Panretinal laser photocoagulation therapy is indicated to reduce the risk of vision loss in individuals with high-risk PDR and, in some cases, severe nonproliferative diabetic retinopathy."
"focused-review","12. Retinopathy, Neuropathy, and Foot Care","12.16","E","4","Acute emergency risk","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","People with vision loss from diabetes should receive educational materials and resources for eye care support in addition to self-management education (e.g., glycemic management and hypoglycemia awareness)."
"focused-review","12. Retinopathy, Neuropathy, and Foot Care","12.19","E","4","CKD and renal dosing","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","Symptoms and signs of autonomic neuropathy should be assessed in people with diabetes starting at diagnosis of type 2 diabetes and 5 years after the diagnosis of type 1 diabetes, and at least annually thereafter, and with evidence of other microvascular complications, particularly kidney disease and diabetic peripheral neuropathy. Screening can include asking about orthostatic dizziness, syncope, early satiety, erectile dysfunction, changes in sweating patterns, or dry cracked skin in the extremities. Signs of autonomic neuropathy include orthostatic hypotension, a resting tachycardia, or evidence of peripheral dryness or cracking of skin."
"focused-review","12. Retinopathy, Neuropathy, and Foot Care","12.20","B","5","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","Optimize glucose management to prevent or delay the development of neuropathy in people with type 1 diabetes A and to slow the progression of neuropathy in people with type 2 diabetes. C Optimize weight, blood pressure, and serum lipid management to reduce the risk or slow the progression of diabetic neuropathy."
"focused-review","12. Retinopathy, Neuropathy, and Foot Care","12.21","E","5","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","Assess and treat pain related to diabetic peripheral neuropathy B and symptoms of autonomic neuropathy to improve quality of life."
"focused-review","12. Retinopathy, Neuropathy, and Foot Care","12.28","B","8","CKD and renal dosing","","guidelines-sources/ADA/2025/12. Retinopathy, Neuropathy, and Foot Care.pdf","An interprofessional approach facilitated by a podiatrist in conjunction with other appropriate team members is recommended for individuals with foot ulcers and high-risk feet (e.g., those on dialysis, those with Charcot foot, those with a history of prior ulcers or amputation, and those with PAD)."
"focused-review","14. Children and Adolescents","14.1","B","4","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Youth with type 1 diabetes and their parents or caregivers (for individuals aged <18 years) should receive culturally sensitive and developmentally appropriate individualized diabetes self-management education and support (DSMES) according to national standards at diagnosis and routinely thereafter."
"focused-review","14. Children and Adolescents","14.2","A","4","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Individualized medical nutrition therapy (MNT) is recommended for youth with type 1 diabetes as an essential component of the overall treatment plan."
"focused-review","14. Children and Adolescents","14.4","B","4","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Advise youth with type 1 diabetes and their caregivers to strive for an eating pattern emphasizing key nutrition principles (including nonstarchy vegetables, whole fruits, legumes, fish and other lean protein, whole grains, nuts and seeds, and low-fat dairy products, and minimize consumption of red meat, sugar-sweetened beverages, sweets, refined grains, and processed foods)."
"focused-review","14. Children and Adolescents","14.5","A","4","Insulin or high-risk glucose-lowering medication","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Meal composition impacts postprandial glucose excursions. Education on the impact of high-fat and high-protein meals and the adjustment of insulin dosing is necessary."
"focused-review","14. Children and Adolescents","14.6","E","4","Cardiovascular disease and BP/lipids","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Strongly advise comprehensive nutrition education at diagnosis, and at least annually as needed, by an experienced registered dietitian nutritionist to assess the eating pattern in relation to weight status, age-appropriate growth, and cardiovascular disease risk factors."
"focused-review","14. Children and Adolescents","14.9","C","5","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Youth and their parents or caregivers should receive education on goals and management of glycemia before, during, and after physical activity, individualized according to the type and intensity of the planned physical activity."
"focused-review","14. Children and Adolescents","14.12","E","5","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Behavioral health professionals should be considered integral members of the pediatric diabetes interprofessional team."
"focused-review","14. Children and Adolescents","14.13","A","5","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Encourage developmentally appropriate family involvement in diabetes management tasks for children and adolescents, recognizing that premature or unsupportive transfer of diabetes care responsibility to the youth can contribute to diabetes distress, lower engagement in diabetes selfmanagement behaviors, and deterioration in glycemia."
"focused-review","14. Children and Adolescents","14.16","E","6","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Offer adolescents time by themselves with their health care professional(s) at a developmentally appropriate age."
"focused-review","14. Children and Adolescents","14.29","B","8","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Consider testing children with type 1 diabetes for antithyroid peroxidase and antithyroglobulin antibodies soon after diagnosis."
"focused-review","14. Children and Adolescents","14.30","B","8","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Measure thyroid-stimulating hormone concentrations at diagnosis when clinically stable or soon after optimizing glycemia. If normal, suggest rechecking every 1–2 years or sooner if the youth has positive thyroid antibodies or develops symptoms or signs suggestive of thyroid dysfunction, thyromegaly, an abnormal growth rate, or unexplained glycemic variability."
"focused-review","14. Children and Adolescents","14.32","B","8","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Repeat screening for celiac disease within 2 years of diabetes diagnosis and then again after 5 years and consider more frequent screening in youth who have symptoms or a firstdegree relative with celiac disease."
"focused-review","14. Children and Adolescents","14.40","A","9","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","If lipids are abnormal, initial therapy should consist of optimizing glycemia and MNT to limit the amount of calories from fat to 25–30% and saturated fat to <7%, limit cholesterol to <200 mg/day, avoid trans fats, and aim for 10% calories from monounsaturated fats."
"focused-review","14. Children and Adolescents","14.45","B","10","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","An initial dilated and comprehensive eye examination is recommended once youth have had type 1 diabetes for 3–5 years, provided they are aged ≥11 years or puberty has started, whichever is earlier."
"focused-review","14. Children and Adolescents","14.48","A","11","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Consider an annual comprehensive foot exam at the start of puberty or at age ≥10 years, whichever is earlier, once the youth has had type 1 diabetes for 5 years. The examination should include inspection, assessment of foot pulses, pinprick, and 10-g monofilament sensation tests, testing of vibration sensation using a 128-Hz tuning fork, and ankle reflex tests. B Diabetic neuropathy rarely occurs in prepubertal children or after only 1–2 years of diabetes (166), although data suggest a prevalence of distal peripheral neuropathy of 7% in 1,734 youth with type 1 diabetes and association with the presence of CVD risk factors (172,173)."
"focused-review","14. Children and Adolescents","14.52","A","11","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Children and adolescents with overweight or obesity in whom the diagnosis of type 2 diabetes is being considered should have a panel of pancreatic autoantibodies tested to exclude the possibility of autoimmune type 1 diabetes. B In recent years, incidence and prevalence of type 2 diabetes in adolescents have increased dramatically, especially in historically marginalized communities (185)."
"focused-review","14. Children and Adolescents","14.53","B","12","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","All youth with type 2 diabetes and their families should receive comprehensive DSMES that is specific to youth with type 2 diabetes and is culturally appropriate."
"focused-review","14. Children and Adolescents","14.54","B","12","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Youth with overweight or obesity and type 2 diabetes and their families should be provided with developmentally and culturally appropriate comprehensive lifestyle programs that are integrated with diabetes management to achieve at least a 7–10% decrease in excess weight."
"focused-review","14. Children and Adolescents","14.55","E","12","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Given the necessity of longterm weight management for youth with type 2 diabetes, lifestyle intervention should be based on a chronic care model and offered in the context of diabetes care."
"focused-review","14. Children and Adolescents","14.57","B","12","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Nutrition for youth with prediabetes and type 2 diabetes, like for all children and adolescents, should focus on key nutrition principles (i.e., eat more nonstarchy vegetables, whole fruits, legumes, whole grains, nuts and seeds, and low-fat dairy products and eat less meat, sugarsweetened beverages, sweets, refined grains, and processed or ultraprocessed foods)."
"focused-review","14. Children and Adolescents","14.67","E","12","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","When choosing glucose-lowering or other medications for youth with overweight or obesity and type 2 diabetes, consider medication-taking behavior and the medications’ effect on weight."
"focused-review","14. Children and Adolescents","14.77","E","15","CKD and renal dosing","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Estimated glomerular filtration rate (GFR) should be determined at the time of diagnosis and annually thereafter."
"focused-review","14. Children and Adolescents","14.81","C","15","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Youth with type 2 diabetes should be screened for the presence of neuropathy by foot examination at diagnosis and annually. The examination should include inspection, assessment of foot pulses, pinprick and 10-g monofilament sensation tests, testing of vibration sensation using a 128-Hz tuning fork, and ankle reflex tests."
"focused-review","14. Children and Adolescents","14.83","C","15","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Screening for retinopathy should be performed by dilated fundoscopy at or soon after diagnosis and annually thereafter."
"focused-review","14. Children and Adolescents","14.84","B","15","Contraindications, warnings, and adverse effects","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Optimizing glycemia is recommended to decrease the risk or slow the progression of retinopathy."
"focused-review","14. Children and Adolescents","14.87","B","15","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Evaluation of youth with type 2 diabetes for metabolic dysfunction– associated steatotic liver disease (by measuring AST and ALT) should be done at diagnosis and annually thereafter."
"focused-review","14. Children and Adolescents","14.89","B","15","Children and adolescents","","guidelines-sources/ADA/2025/14. Children and Adolescents.pdf","Screening for symptoms of sleep apnea should be done at each visit, and referral to a pediatric sleep specialist for evaluation and a polysomnogram, if indicated, is recommended. Obstructive sleep apnea should be treated when documented."
